ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,,,,
3,89.5,12017.0,1416.0,50.9
4 und 5,,,,
6,,,,
7 und 8,86.7,14816.0,2273.0,57.5
9,85.6,11922.0,2004.0,46.6
10,,,,
11,85.5,13288.0,2261.0,43.8
12,82.5,4454.0,948.0,36.1
