ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,49.6,5338,5434,48.3
3,60.5,7775,5069,47.4
4 und 5,67.7,7597,3630,47.2
6,55.5,5950,4779,56.4
7 und 8,44.8,7495,9246,54.9
9,48.2,6288,6768,43.1
10,52.4,6565,5953,52.3
11,43.7,6334,8160,40.2
12,43.6,2253,2911,33.6
