ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,72.4,7853,2992,48.3
3,80.2,10367,2555,47.4
4 und 5,85.6,9745,1636,47.3
6,79.0,8561,2273,56.4
7 und 8,71.4,12065,4832,54.9
9,71.4,9336,3743,43.1
10,76.0,9631,3040,54.0
11,69.7,10155,4405,40.1
12,66.5,3445,1736,33.7
