ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,65.0,6691,3602,49.0
3,72.6,8935,3369,48.1
4 und 5,77.7,8334,2391,47.7
6,68.3,6937,3220,56.2
7 und 8,60.9,9576,6154,54.7
9,65.8,8232,4288,43.5
10,67.5,8160,3930,54.1
11,63.2,8786,5117,40.6
12,61.8,2997,1851,34.0
