ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,81.6,8586,1931,47.5
3,86.8,10951,1663,46.6
4 und 5,88.9,9785,1219,46.5
6,85.0,9031,1588,55.7
7 und 8,81.0,13221,3110,53.9
9,80.8,10364,2467,42.5
10,84.3,10402,1941,52.5
11,80.9,11604,2734,39.7
12,77.7,3928,1129,33.1
