ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,75.0,7888,2634,47.6
3,82.3,10397,2235,46.8
4 und 5,84.6,9310,1694,46.7
6,79.7,8382,2141,55.7
7 und 8,73.2,11922,4359,53.9
9,77.7,10108,2902,42.9
10,77.9,9624,2726,52.6
11,71.2,10080,4079,39.5
12,68.7,3447,1573,33.1
