ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,81.9,8413,1859,47.4
3,87.5,10800,1537,46.6
4 und 5,88.5,9452,1234,46.4
6,85.1,8782,1537,55.5
7 und 8,80.6,12802,3083,53.7
9,81.3,10196,2342,42.4
10,83.2,10015,2029,52.4
11,80.0,11178,2789,39.6
12,76.9,3807,1145,33.1
