ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,89.6,9285,1079,47.6
3,91.3,11264,1079,46.6
4 und 5,92.6,9909,794,46.4
6,90.4,9357,997,55.5
7 und 8,88.4,14113,1851,53.8
9,86.7,10892,1668,42.4
10,89.5,10801,1269,52.4
11,86.5,12102,1886,39.5
12,84.0,4133,790,33.0
