ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,,,,
3,46.0,5655.0,6627.0,48.2
4 und 5,,,,
6,,,,
7 und 8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
