ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,,,,
3,82.9,10930.0,2252.0,49.3
4 und 5,,,,
6,83.1,9023.0,1836.0,57.4
7 und 8,,,,
9,,,,
10,81.0,10534.0,2473.0,55.3
11,76.6,11429.0,3500.0,41.7
12,72.2,3731.0,1439.0,34.6
