ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,,,,
3,,,,
4 und 5,,,,
6,,,,
7 und 8,,,,
9,,,,
10,,,,
11,,,,
12,41.3,2320.0,3299.0,36.6
