ID,C,ja_absolut,nein_absolut,stimmbeteiligung
1 und 2,,,,
3,32.1,3760.0,7950.0,47.8
4 und 5,,,,
6,,,,
7 und 8,,,,
9,,,,
10,,,,
11,,,,
12,39.8,1766.0,2673.0,33.5
